week_ending,iso_week,business_unit,contacts_offered,contacts_handled,service_level,asa,abandon_rate,aht,fcr,csat,repeat_rate,occupancy,adherence,forecast_accuracy,cost_per_contact
2026-06-21,25,Consumer Care,21324,20367,87.58,29.2,4.49,364.4,76.68,84.18,22.6,86.9,88.11,93.24,20.032
2026-06-28,26,Consumer Care,22084,21116,79.05,23.7,4.38,346.4,79.19,85.04,20.81,85.59,92.41,92.22,19.177
2026-07-05,27,Consumer Care,21652,20430,83.45,24.0,5.64,355.1,78.94,86.96,20.09,85.92,93.61,92.55,19.833
2026-07-12,28,Consumer Care,21372,20338,85.02,29.2,4.84,351.3,79.74,85.53,19.71,81.87,90.05,90.31,20.608
2026-07-19,29,Consumer Care,19923,18980,82.64,22.3,4.73,362.7,79.12,86.71,20.71,88.38,93.39,90.74,19.041
2026-07-26,30,Consumer Care,21319,20320,81.81,33.7,4.69,354.7,79.74,85.62,20.46,85.08,90.25,95.77,19.997
2026-08-02,31,Consumer Care,20355,19309,86.22,34.6,5.14,350.2,78.34,84.6,22.49,86.82,89.65,89.63,19.954
2026-08-09,32,Consumer Care,21550,20618,80.38,25.3,4.32,354.0,79.54,85.54,20.58,81.0,90.56,92.65,20.35
2026-08-16,33,Consumer Care,19352,18680,81.8,21.9,3.47,351.3,80.22,87.72,18.29,82.23,92.18,91.56,20.669
2026-08-23,34,Consumer Care,20385,17604,67.86,72.6,13.65,382.5,78.13,85.15,21.57,91.58,89.27,92.76,19.214
2026-08-30,35,Consumer Care,21407,20476,80.58,26.6,4.35,360.5,80.3,84.95,19.36,86.92,93.52,90.47,19.349
2026-09-06,36,Consumer Care,19710,18905,82.17,26.9,4.09,349.1,78.02,83.78,18.41,88.58,90.45,93.39,18.697
2026-09-13,37,Consumer Care,20773,19833,78.15,27.0,4.52,340.3,77.25,86.67,22.25,86.43,91.37,93.33,18.695
2026-09-20,38,Consumer Care,21260,20264,83.49,28.5,4.68,341.6,81.05,85.73,18.77,83.67,91.15,92.98,19.716
2026-09-27,39,Consumer Care,21101,20169,82.31,24.2,4.42,357.9,77.35,84.0,22.82,87.8,90.81,91.76,19.943
2026-06-07,23,Retention,4494,4277,80.6,22.6,4.81,363.7,73.6,83.95,26.53,84.9,89.31,92.22,20.619
2026-06-14,24,Retention,4398,4223,80.31,26.9,3.96,350.3,71.77,81.44,28.32,83.55,92.69,92.13,20.729
2026-06-21,25,Retention,4410,4182,81.27,27.3,5.18,352.3,72.81,80.43,27.08,84.82,90.41,92.41,19.91
2026-06-28,26,Retention,4409,4233,75.31,26.5,3.98,352.5,70.58,82.47,28.96,84.94,90.7,92.19,19.225
2026-07-05,27,Retention,4512,4294,81.18,28.2,4.83,344.5,72.78,81.95,26.81,87.03,88.61,92.46,19.352
2026-07-12,28,Retention,4468,4242,74.95,24.5,5.06,355.4,73.68,81.02,25.69,83.55,90.78,93.38,19.808
2026-07-19,29,Retention,4475,4280,77.25,30.1,4.35,345.8,74.82,83.48,23.48,90.24,93.88,92.23,19.345
2026-07-26,30,Retention,4304,4077,76.48,25.4,5.27,354.2,78.92,83.45,19.08,87.03,91.09,91.33,20.075
2026-08-02,31,Retention,4200,3997,79.03,25.0,4.83,345.5,76.09,83.75,22.31,81.55,90.28,92.43,19.597
2026-08-09,32,Retention,4181,3957,80.31,24.5,5.34,339.6,77.2,83.42,21.55,83.0,92.53,91.86,19.649
2026-08-16,33,Retention,4118,3946,78.71,23.0,4.19,356.6,74.02,85.02,28.74,81.94,92.27,92.32,20.544
2026-08-23,34,Retention,3997,3813,77.93,24.0,4.61,364.9,77.44,84.87,23.68,86.06,84.98,89.49,20.939
2026-08-30,35,Retention,3969,3789,85.08,23.1,4.53,358.3,77.86,87.77,23.97,88.42,90.23,90.74,19.121
2026-09-06,36,Retention,3973,3778,80.92,21.6,4.91,334.1,79.55,87.21,20.97,87.39,90.98,93.43,18.239
2026-09-13,37,Retention,4203,4024,81.57,27.1,4.27,355.9,77.9,85.28,21.55,80.38,93.33,91.18,20.674
2026-09-20,38,Retention,4599,4413,80.94,19.6,4.03,358.3,78.26,86.46,21.22,86.73,92.2,89.87,20.304
2026-09-27,39,Retention,4413,4207,82.93,27.0,4.66,352.7,79.33,88.07,19.56,84.9,89.36,92.31,19.729
2026-06-07,23,SME Desk,6081,5946,89.85,19.3,2.22,338.7,81.32,88.45,18.23,88.33,90.1,88.73,18.665
2026-06-14,24,SME Desk,6233,5973,85.14,21.1,4.18,329.7,81.01,87.11,19.39,86.06,91.44,93.55,18.311
2026-06-21,25,SME Desk,6384,6123,86.16,20.2,4.09,346.2,82.51,87.22,18.35,87.62,94.35,91.5,18.945
2026-06-28,26,SME Desk,6470,6332,89.13,17.4,2.13,329.1,81.32,88.73,18.28,82.0,89.77,89.24,18.686
2026-07-05,27,SME Desk,6245,6064,86.66,26.1,2.89,345.2,81.66,88.2,19.12,82.08,92.39,88.42,19.615
2026-07-12,28,SME Desk,6188,5999,85.37,26.3,3.05,356.6,83.0,89.19,17.52,84.25,93.69,91.93,20.629
2026-07-19,29,SME Desk,6066,5832,87.96,8.3,3.86,328.5,79.87,90.03,21.68,81.13,93.85,92.44,19.881
2026-07-26,30,SME Desk,6245,6076,85.65,24.9,2.7,312.5,80.6,91.08,19.68,83.3,91.6,92.39,18.339
2026-08-02,31,SME Desk,6160,6025,84.04,6.7,2.18,337.5,79.32,91.42,20.96,82.09,90.34,93.66,19.904
2026-08-09,32,SME Desk,5797,5644,86.12,20.1,2.63,328.3,81.15,88.99,19.06,80.61,91.3,94.13,19.176
2026-08-16,33,SME Desk,5878,5645,84.29,17.0,3.96,345.1,84.85,93.52,15.91,83.77,91.41,92.7,19.313
2026-08-23,34,SME Desk,5881,5649,83.43,20.8,3.94,332.1,84.25,92.44,15.84,87.78,91.64,92.55,18.942
2026-08-30,35,SME Desk,6059,5899,86.26,21.3,2.65,357.8,85.5,91.21,14.8,85.73,89.82,91.34,19.804
2026-09-06,36,SME Desk,5956,5823,83.29,25.2,2.23,312.8,80.17,91.25,21.95,87.73,89.93,93.26,18.143
2026-09-13,37,SME Desk,5921,5723,83.26,20.3,3.35,346.6,79.19,87.05,20.96,86.41,89.62,92.48,19.176
2026-09-20,38,SME Desk,6323,6137,85.41,24.5,2.95,316.1,81.6,87.63,18.97,83.84,92.01,94.62,18.07
2026-09-27,39,SME Desk,6144,5930,89.06,18.7,3.48,322.1,83.21,88.83,18.31,85.71,92.64,90.09,19.094
2026-06-07,23,Technical Support,10933,10427,81.62,23.0,4.64,355.4,79.04,85.42,19.6,82.83,91.26,94.31,19.436
2026-06-14,24,Technical Support,11635,11133,82.1,21.0,4.31,364.4,78.65,86.89,19.43,87.37,92.4,94.04,19.599
2026-06-21,25,Technical Support,12555,11982,82.97,26.6,4.57,336.5,79.56,83.82,19.48,82.81,88.67,92.5,19.418
2026-06-28,26,Technical Support,11415,10919,83.56,24.4,4.35,353.2,78.52,84.81,21.12,87.2,92.22,90.7,18.537
2026-07-05,27,Technical Support,12131,11602,82.8,27.0,4.36,343.5,76.95,87.65,20.84,81.14,93.88,93.47,19.723
2026-07-12,28,Technical Support,12163,11632,84.51,23.0,4.37,346.6,79.23,86.98,20.37,84.22,91.86,94.21,20.289
2026-07-19,29,Technical Support,11945,11333,80.69,23.4,5.13,356.8,77.71,86.7,20.18,83.84,90.54,94.05,20.008
2026-07-26,30,Technical Support,11428,10965,79.9,26.6,4.05,362.3,82.04,86.59,18.59,87.03,90.96,90.71,19.947
2026-08-02,31,Technical Support,10672,10166,85.74,23.9,4.74,347.0,79.06,85.4,20.65,88.79,93.19,90.2,19.23
2026-08-09,32,Technical Support,11039,10493,81.25,32.2,4.94,337.3,78.64,87.55,21.91,85.95,89.67,91.31,19.16
2026-08-16,33,Technical Support,10584,10075,79.0,29.8,4.81,342.9,81.01,84.47,18.89,87.41,89.71,92.73,18.871
2026-08-23,34,Technical Support,10924,10338,80.97,31.5,5.37,348.4,76.34,85.19,25.08,88.87,88.81,93.16,19.042
2026-08-30,35,Technical Support,10760,10188,77.5,31.7,5.32,368.5,79.98,88.62,20.82,84.73,93.47,93.73,20.886
2026-09-06,36,Technical Support,11132,10655,78.13,26.2,4.29,345.6,80.07,85.35,20.96,86.13,89.36,92.35,19.381
2026-09-13,37,Technical Support,10910,10214,69.44,45.8,6.38,360.2,80.0,85.9,18.68,81.52,86.88,90.69,20.233
2026-09-20,38,Technical Support,11388,10277,60.28,67.6,9.76,360.9,78.4,84.85,23.7,87.26,83.88,92.95,19.447
2026-09-27,39,Technical Support,11765,10481,59.31,84.5,10.91,368.2,78.63,82.59,20.67,84.83,84.06,91.3,20.288
